AGE,SEXE,BEN_REG,DNB,REM,BSE
40,1,93,138,1593.57,2097.45
40,1,84,34,458.42,514.85
40,1,84,104,1452.38,1582.35
40,1,84,14,190.21,217.85
40,1,84,71,801.1,1087.05
40,1,76,36,429.61,549.1
40,1,76,136,1978.9,2066.65
40,1,76,126,1871.34,1903.2
40,1,76,113,1220.67,1733.8
40,1,75,32,407.04,484.9
40,1,75,40,530.78,614.75
40,1,75,126,1346.54,1914.95
40,1,53,26,267.45,395.8
40,1,52,17,207.34,255.4
40,1,52,45,485.34,680.65
40,1,44,33,456.97,504.05
40,1,44,258,3680.6,3899.3
40,1,44,374,5543.7,5651.8
40,1,44,21,250.54,321.55
40,1,44,236,2785.18,3574.4
40,1,32,30,383,450.8
40,1,32,46,603.95,703.85
40,1,32,23,308.88,355.05
40,1,32,126,1350.06,1912.15
40,1,28,28,388.95,425.5
40,1,28,63,926.17,951.55
40,1,28,20,234.93,304.25
40,1,28,33,345.61,505.65
40,1,27,25,356.59,374.95
40,1,27,36,482.22,552.15
40,1,27,57,605.74,875.3
40,1,24,15,165.66,229.75
40,1,24,20,275.11,305.35
40,1,24,44,505.72,673.05
40,1,11,50,511.95,765.95
40,1,11,250,3318.69,3798.05
40,1,11,83,1139.43,1269.4
40,1,11,16,170.28,242.4
40,1,11,16,195.34,243.5
40,1,11,48,606.72,734.9
40,1,11,23,285.2,355.55
40,1,11,422,4495.33,6426.3
40,1,5,23,312.4,410.25
40,1,5,53,707.04,923.6
40,1,5,143,1850.22,2534.4
20,2,99,20,215.81,301.75
20,2,99,53,496.77,817.15
20,2,99,28,290.34,441.2
20,2,93,31,369.54,474.6
20,2,93,793,9345.75,12069.05
20,2,93,63,601.77,951.65
20,2,93,91,1177.48,1374.95
20,2,93,35,347.94,528.6
20,2,93,2032,18916.98,30838.1
20,2,93,12,166.59,184.95
20,2,93,82,806.49,1244.25
20,2,93,1069,10413.53,16210.3
20,2,84,37,431.96,566.15
20,2,84,1138,12399.3,17293.1
20,2,84,18,181.2,270.5
20,2,84,55,737.81,822.05
20,2,84,1804,16795.78,27463.35
20,2,84,38,522.14,570.2
20,2,84,22,226.53,332.1
20,2,84,501,4881.42,7602.3
20,2,76,58,736.43,893.6
20,2,76,414,4395.91,6296.6
20,2,76,56,783.52,857.5
20,2,76,29,296.37,439.5
20,2,76,1348,12597.08,20504.25
20,2,76,43,486.85,660.05
20,2,76,477,4811.59,7251.4
20,2,75,45,534.51,675.75
20,2,75,557,6344.17,8462.3
20,2,75,745,6955.79,11322.25
20,2,75,26,382.49,395.45
20,2,75,40,370.9,609
20,2,75,399,3975.41,6063.3
20,2,53,63,782.88,954.6
20,2,53,233,2436.3,3541.5
20,2,53,335,3123.94,5094.3
20,2,53,124,1273.04,1894.6
20,2,52,18,208.78,278.1
20,2,52,237,2545.22,3585.5
20,2,52,23,329.4,353.7
20,2,52,505,4677.18,7661.2
20,2,52,13,145.26,199.8
20,2,52,161,1569.24,2436.1
20,2,44,21,226.42,318
20,2,44,1058,11806.82,16129.95
20,2,44,513,7584.02,7786.15
20,2,44,77,797.71,1176.85
20,2,44,1668,15795.96,25313.9
20,2,44,59,838.71,896.05
20,2,44,28,294.9,419.5
20,2,44,27,246.36,407
20,2,44,461,4832.81,6986.95
